kernel,n,threads,precision,median_ms,min_ms,stddev_ms,gflops
naive-ijk,64,1,f32,0.215875,0.215667,0.00012995768542105316,2.428664736537348
ikj,64,1,f32,0.036166,0.035250000000000004,0.03804299231133114,14.49670961676713
tiled,64,1,f32,0.035708,0.035500000000000004,0.00032193431006961583,14.68264814607371
rayon-ikj,64,1,f32,0.053084,0.045667,0.0034502202393470478,9.876572978675306
rayon-ikj,64,2,f32,0.0385,0.035584,0.007386128803371902,13.61787012987013
rayon-ikj,64,4,f32,0.031833,0.024749999999999998,0.006331767028247329,16.469952564948326
rayon-ikj,64,8,f32,0.056332999999999994,0.044542,0.009833126984840578,9.306942644631032
rayon-ikj,64,10,f32,0.057374999999999995,0.053041000000000005,0.006852704261822478,9.137917211328975
rayon-tiled,64,1,f32,0.039584,0.038834,0.0016248312220043053,13.244947453516573
rayon-tiled,64,2,f32,0.040916,0.04025,0.0010077354811655697,12.813764786391632
rayon-tiled,64,4,f32,0.051959000000000005,0.043207999999999996,0.03092590722517288,10.090417444523565
rayon-tiled,64,8,f32,0.053083,0.052291,0.0018959621040516622,9.876759037733361
rayon-tiled,64,10,f32,0.038542,0.037542,0.002961253501475346,13.603030460277102
static-ikj,64,1,f32,0.037084,0.036083,0.013570450294665982,14.137849207205264
static-ikj,64,2,f32,0.02375,0.023458,0.010602611060488824,22.075284210526313
static-ikj,64,4,f32,0.047291,0.033292,0.008103883001376561,11.086422363663276
static-ikj,64,8,f32,0.039,0.036583,0.011327882582371693,13.44328205128205
static-ikj,64,10,f32,0.036625000000000005,0.03225,0.002959095926123383,14.315030716723548
static-tiled,64,1,f32,0.036291000000000004,0.035750000000000004,0.008904167647792801,14.446777437932267
static-tiled,64,2,f32,0.028249999999999997,0.022875,0.006260951189715505,18.558867256637168
static-tiled,64,4,f32,0.038583,0.033958,0.0035472886829239028,13.588575279268072
static-tiled,64,8,f32,0.039459,0.035334,0.02761186314249728,13.28690539547378
static-tiled,64,10,f32,0.05575,0.046125000000000006,0.043475178041038544,9.404269058295963
mps,64,1,f32,0.2235,0.211167,0.006090298416333971,2.345807606263982
naive-ijk,128,1,f32,1.335917,1.331084,0.006381570472853865,3.139644154539541
ikj,128,1,f32,0.13025,0.130083,0.00019534533523993434,32.201950095969295
tiled,128,1,f32,0.200375,0.199292,0.0115338247862537,20.932271990018716
rayon-ikj,128,1,f32,0.14266600000000002,0.140625,0.001023892474823405,29.399464483478894
rayon-ikj,128,2,f32,0.076042,0.075125,0.0011560446358164563,55.15772862365535
rayon-ikj,128,4,f32,0.063917,0.054708,0.0067856731279954865,65.62110236713237
rayon-ikj,128,8,f32,0.057917,0.05275,0.015858675338753868,72.41922060880225
rayon-ikj,128,10,f32,0.07470800000000001,0.060334,0.02580629741942846,56.142635326872615
rayon-tiled,128,1,f32,0.206625,0.20441700000000002,0.005157462234471525,20.299111917725348
rayon-tiled,128,2,f32,0.109916,0.10775,0.0015700906980171572,38.15917609811129
rayon-tiled,128,4,f32,0.122958,0.121333,0.002182296221872737,34.11168041119732
rayon-tiled,128,8,f32,0.13554100000000002,0.127625,0.022166477072372136,30.944909658332158
rayon-tiled,128,10,f32,0.126292,0.12175000000000001,0.005427979228036892,33.211161435403675
static-ikj,128,1,f32,0.138583,0.137208,0.00113103947764877,30.26564585843862
static-ikj,128,2,f32,0.099875,0.09575,0.003819302226847206,41.99553441802253
static-ikj,128,4,f32,0.070958,0.060583,0.014999528235914624,59.10967050931538
static-ikj,128,8,f32,0.092917,0.08033399999999999,0.006857531749835365,45.14032954141869
static-ikj,128,10,f32,0.076125,0.043250000000000004,0.018051432311592338,55.0975894909688
static-tiled,128,1,f32,0.211084,0.206334,0.0042625924975301065,19.87030755528605
static-tiled,128,2,f32,0.135708,0.132917,0.002479767065673706,30.9068293689392
static-tiled,128,4,f32,0.096875,0.073666,0.012498195041685025,43.29604129032258
static-tiled,128,8,f32,0.096708,0.085792,0.007536857601149176,43.3708069652976
static-tiled,128,10,f32,0.089625,0.07625,0.01080837882385698,46.798370990237096
mps,128,1,f32,0.293166,0.223709,0.03456051014525104,14.306925086810887
naive-ijk,256,1,f32,14.476792,13.878582999999999,0.6288277693985853,2.317808531061301
ikj,256,1,f32,1.28375,1.281167,0.004467297538781092,26.137824342745862
tiled,256,1,f32,1.599,1.588,0.04582270908839851,20.984635397123203
rayon-ikj,256,1,f32,1.29825,1.29175,0.02083148995391352,25.84589408819565
rayon-ikj,256,2,f32,0.717792,0.681625,0.04005553547638574,46.74673443002987
rayon-ikj,256,4,f32,0.38066700000000003,0.362208,0.014187444671257758,88.1464166843987
rayon-ikj,256,8,f32,0.32733399999999996,0.285875,0.05683464184808417,102.50823929075501
rayon-ikj,256,10,f32,0.329792,0.239042,0.041243249650094245,101.74422666407918
rayon-tiled,256,1,f32,1.6158329999999999,1.6002919999999998,0.03718430093870271,20.766027182264505
rayon-tiled,256,2,f32,0.829625,0.824375,0.0045537234544930525,40.44529998493295
rayon-tiled,256,4,f32,0.48958300000000005,0.466375,0.03870932228804838,68.53675883353793
rayon-tiled,256,8,f32,0.47925,0.445459,0.025345751346132935,70.01446426708398
rayon-tiled,256,10,f32,0.510375,0.46775,0.02465427532295366,65.74466225814352
static-ikj,256,1,f32,1.288208,1.285542,0.004251053963430756,26.04737123197496
static-ikj,256,2,f32,0.704333,0.699625,0.003030493887141165,47.64001118788982
static-ikj,256,4,f32,0.39608299999999996,0.387959,0.007537950669777567,84.7156580817657
static-ikj,256,8,f32,0.24333300000000002,0.229167,0.012522702336157316,137.89511492481498
static-ikj,256,10,f32,0.333417,0.32458299999999995,0.016668148688441686,100.63803585300089
static-tiled,256,1,f32,1.60425,1.589708,0.03404886439662859,20.91596197600125
static-tiled,256,2,f32,0.83975,0.829458,0.02213085970991637,39.9576445370646
static-tiled,256,4,f32,0.475042,0.4445,0.027726365914053717,70.63466388235146
static-tiled,256,8,f32,0.29954200000000003,0.285042,0.013907961004403188,112.01912252705797
static-tiled,256,10,f32,0.380334,0.3745,0.021379546269741086,88.22359294725162
mps,256,1,f32,0.360833,0.27525,0.5566713293181175,92.99158336404929
naive-ijk,512,1,f32,120.121708,117.94708399999999,1.2944745666368656,2.2346956305349903
ikj,512,1,f32,10.215333,10.095625,0.11181700275763108,26.277700002535404
tiled,512,1,f32,13.432875000000001,13.33425,0.14271557370973847,19.983470105989966
rayon-ikj,512,1,f32,10.26725,10.207291999999999,0.0351178233693382,26.14482514792179
rayon-ikj,512,2,f32,5.2645,5.237667,0.024571321643330375,50.98973425776427
rayon-ikj,512,4,f32,2.735833,2.722125,0.0170090396319132,98.11836321880759
rayon-ikj,512,8,f32,1.554875,1.489459,0.07134892772635054,172.64118080231532
rayon-ikj,512,10,f32,1.384791,1.3828340000000001,0.05577070373233602,193.84546548901602
rayon-tiled,512,1,f32,13.58225,13.439167,0.09444594665892247,19.763695705792486
rayon-tiled,512,2,f32,7.0174579999999995,6.896833,0.07686058266888167,38.25252049958831
rayon-tiled,512,4,f32,3.730667,3.670875,0.04452905959932227,71.9537433922674
