kernel,n,threads,precision,median_ms,min_ms,stddev_ms,gflops
naive-ijk,64,1,i32,0.167542,0.162041,0.010271721438006386,3.1292929534086977
ikj,64,1,i32,0.024833,0.0245,0.00022436644134094647,21.112551846333506
tiled,64,1,i32,0.024584,0.024457999999999997,0.0003044785706745219,21.32639114871461
rayon-ikj,64,1,i32,0.029249999999999998,0.028,0.0013978301756651268,17.92437606837607
rayon-ikj,64,2,i32,0.032292,0.026375,0.01468210258443933,16.2358478880218
rayon-ikj,64,4,i32,0.020707999999999997,0.019917,0.0010598519707959223,25.318137917712964
rayon-ikj,64,8,i32,0.037541,0.025084,0.008864536101793483,13.965744119762395
rayon-ikj,64,10,i32,0.040083,0.032167,0.010651777893854153,13.080058877828504
rayon-tiled,64,1,i32,0.037292,0.028166,0.004792379961981313,14.05899388608817
rayon-tiled,64,2,i32,0.032666,0.031958,0.007107748919313342,16.049960203269453
rayon-tiled,64,4,i32,0.031542,0.030292,0.0010240036621028273,16.62190095745355
rayon-tiled,64,8,i32,0.049,0.044625,0.010449525907906059,10.699755102040815
rayon-tiled,64,10,i32,0.033791999999999996,0.0315,0.0018337901461181422,15.515151515151516
static-ikj,64,1,i32,0.028334,0.027416,0.010025627247210024,18.50384696830663
static-ikj,64,2,i32,0.021208,0.017584,0.0023339648240708346,24.721237268955107
static-ikj,64,4,i32,0.040042,0.018833000000000003,0.014453123129621503,13.093451875530693
static-ikj,64,8,i32,0.054125,0.030875,0.012621489282172688,9.686614318706697
static-ikj,64,10,i32,0.024208,0.0185,0.012117165283184015,21.657633840052874
static-tiled,64,1,i32,0.029124999999999998,0.027792,0.003290624332858434,18.001304721030046
static-tiled,64,2,i32,0.020333,0.016208,0.0023948831495503066,25.785078443908915
static-tiled,64,4,i32,0.033207999999999994,0.026875,0.015026844868434626,15.78800289086967
static-tiled,64,8,i32,0.039959,0.025625,0.020097684438760602,13.120648664881502
static-tiled,64,10,i32,0.038875,0.027041000000000003,0.016616938105439277,13.486508038585209
naive-ijk,128,1,i32,1.277917,1.254458,0.014584489723675584,3.282141171922746
ikj,128,1,i32,0.134959,0.134209,0.0007969631735532034,31.078357130684132
tiled,128,1,i32,0.228167,0.19195900000000002,0.039234177810934176,18.382605723001134
rayon-ikj,128,1,i32,0.147708,0.144708,0.005395777673329399,28.39591626722994
rayon-ikj,128,2,i32,0.100042,0.096292,0.007004852996316198,41.92543131884609
rayon-ikj,128,4,i32,0.073458,0.053666,0.013890253932164096,57.09798796591249
