kernel,n,threads,precision,median_ms,min_ms,stddev_ms,gflops
naive-ijk,64,1,f64,0.215875,0.21575000000000003,0.000961647180622918,2.428664736537348
ikj,64,1,f64,0.047625,0.047583,0.00013395223029125008,11.008671916010497
tiled,64,1,f64,0.047583,0.047583,0.00009153851648350033,11.018388920412752
rayon-ikj,64,1,f64,0.054,0.0535,0.009890031461021749,9.709037037037037
rayon-ikj,64,2,f64,0.046166,0.038625,0.0077579599960298845,11.356582766538144
rayon-ikj,64,4,f64,0.029791,0.028,0.0011728497346207647,17.5988721425934
rayon-ikj,64,8,f64,0.0285,0.024916999999999998,0.018268243169500452,18.396070175438595
rayon-ikj,64,10,f64,0.04475,0.041875,0.010663831009538738,11.715932960893856
rayon-tiled,64,1,f64,0.047917,0.047,0.003815129788093716,10.94158649331135
rayon-tiled,64,2,f64,0.048042,0.04775,0.0015528736909356164,10.913117688689065
rayon-tiled,64,4,f64,0.04875,0.048458,0.001896721592643474,10.75462564102564
rayon-tiled,64,8,f64,0.070333,0.065041,0.00248592568271861,7.454367082308446
rayon-tiled,64,10,f64,0.049249999999999995,0.049,0.00831717300529453,10.645441624365482
static-ikj,64,1,f64,0.048042,0.047125,0.00121463875288087,10.913117688689065
static-ikj,64,2,f64,0.031042,0.028583,0.00160728208476297,16.8896333999098
static-ikj,64,4,f64,0.039167,0.030084,0.0076167593962261915,13.385962672658106
static-ikj,64,8,f64,0.06887499999999999,0.036708000000000005,0.02903333130214306,7.612166969147006
static-ikj,64,10,f64,0.055708999999999995,0.037458,0.0380013542390268,9.411190292412359
static-tiled,64,1,f64,0.048083,0.0475,0.0053999724814113624,10.90381215814321
static-tiled,64,2,f64,0.036084000000000005,0.029625,0.008324503246440596,14.529653031814654
static-tiled,64,4,f64,0.043125,0.031584,0.005507903802718416,12.157402898550727
static-tiled,64,8,f64,0.064167,0.048792,0.015596829764410456,8.170679632833076
static-tiled,64,10,f64,0.06579099999999999,0.044917,0.021180702863691753,7.968992719368912
naive-ijk,128,1,f64,1.679208,1.675917,0.07195440487350299,2.497787051991177
ikj,128,1,f64,0.354417,0.34025,0.008928046634062787,11.83437589054701
tiled,128,1,f64,0.319375,0.31879199999999996,0.003228973242379066,13.132850097847358
rayon-ikj,128,1,f64,0.32787499999999997,0.32087499999999997,0.01575478944004014,12.792387342737324
rayon-ikj,128,2,f64,0.16370800000000002,0.161833,0.0042069510931314535,25.62064163021966
rayon-ikj,128,4,f64,0.10675000000000001,0.104083,0.01035852500600351,39.290903981264634
rayon-ikj,128,8,f64,0.08920900000000001,0.073667,0.011966555782680327,47.01660146397784
rayon-ikj,128,10,f64,0.094583,0.079,0.007575477258892671,44.345220599896386
rayon-tiled,128,1,f64,0.278625,0.277167,0.003515867816059067,15.053580978017047
rayon-tiled,128,2,f64,0.172375,0.165375,0.005414153008550832,24.332437998549675
rayon-tiled,128,4,f64,0.15204199999999998,0.14575,0.005551324049269686,27.5864826824167
rayon-tiled,128,8,f64,0.166083,0.157,0.015354320965122488,25.254264434048036
rayon-tiled,128,10,f64,0.162834,0.162542,0.005592447791441602,25.758158615522557
static-ikj,128,1,f64,0.30374999999999996,0.298834,0.013788582588504168,13.808408230452676
static-ikj,128,2,f64,0.188959,0.180166,0.008519490495328935,22.196899856582647
static-ikj,128,4,f64,0.109875,0.097958,0.01577768572066258,38.17341524459613
static-ikj,128,8,f64,0.10387500000000001,0.087541,0.007570978589323842,40.3783778580024
static-ikj,128,10,f64,0.16275,0.128709,0.016499676896836502,25.771453149001537
static-tiled,128,1,f64,0.27758299999999997,0.274375,0.01630003902756063,15.110089594823892
static-tiled,128,2,f64,0.147334,0.146917,0.009538688264116814,28.467997882362525
static-tiled,128,4,f64,0.10804200000000001,0.098542,0.007278015134636641,38.821051072730974
static-tiled,128,8,f64,0.095875,0.08433299999999999,0.012032652105832696,43.747629726206
static-tiled,128,10,f64,0.160166,0.137875,0.01885499727658427,26.187230748098848
naive-ijk,256,1,f64,13.794374999999999,13.640208,0.5812707837228709,2.4324720764804497
